year,pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,trade_value_usd,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_effectively_applied_pct,tariff_agreement_count,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_live_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,in_force_date,score_method,source_stack,score_status,penalty_basis,notes
2023,AUS__CAN,Australia imports from Canada,AUS,AUS,Australia,CAN,CAN,Canada,2631815493.50286,2631.81549350286,2.5,2.4,1,0.0,0.0,90.0,90.0,yes,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,substantially_all_goods,2018-12-30,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CAN__KOR,Canada imports from South Korea,CAN,CAN,Canada,KOR,KOR,South Korea,9874584270.57862,9874.584270578622,3.4,3.8,0,0.0,0.0,86.4,86.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CAN__MEX,Canada imports from Mexico,CAN,CAN,Canada,MEX,MEX,Mexico,28522822219.7526,28522.8222197526,3.4,3.8,0,0.0,0.0,86.4,86.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CAN__USA,Canada imports from United States,CAN,CAN,Canada,USA,USA,United States,238453154003.852,238453.154003852,3.4,3.8,1,2.0,0.0,86.4,84.4,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,2020-07-01,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | Low-friction FTA reverse-direction pair.
2023,CHN__AUS,China imports from Australia,CHN,CHN,China,AUS,AUS,Australia,156630120707.0,156630.120707,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CHN__CAN,China imports from Canada,CHN,CHN,China,CAN,CAN,Canada,44053441610.0,44053.44161,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CHN__GBR,China imports from United Kingdom,CHN,CHN,China,GBR,GBR,United Kingdom,20221123119.0,20221.123119,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CHN__JPN,China imports from Japan,CHN,CHN,China,JPN,JPN,Japan,160752298981.0,160752.298981,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CHN__KOR,China imports from South Korea,CHN,CHN,China,KOR,KOR,South Korea,162460899987.0,162460.899987,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CHN__MEX,China imports from Mexico,CHN,CHN,China,MEX,MEX,Mexico,18740157881.0,18740.157881,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,CHN__USA,China imports from United States,CHN,CHN,China,USA,USA,United States,164312852045.0,164312.852045,3.0,7.5,0,0.0,0.0,88.0,88.0,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__AUS,United Kingdom imports from Australia,GBR,GBR,United Kingdom,AUS,AUS,Australia,4537636045.24524,4537.63604524524,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__CAN,United Kingdom imports from Canada,GBR,GBR,United Kingdom,CAN,CAN,Canada,13266184233.8025,13266.1842338025,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__CHN,United Kingdom imports from China,GBR,GBR,United Kingdom,CHN,CHN,China,98787994460.8357,98787.99446083569,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__JPN,United Kingdom imports from Japan,GBR,GBR,United Kingdom,JPN,JPN,Japan,14689288999.0492,14689.2889990492,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__KOR,United Kingdom imports from South Korea,GBR,GBR,United Kingdom,KOR,KOR,South Korea,7917114475.98538,7917.1144759853805,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__MEX,United Kingdom imports from Mexico,GBR,GBR,United Kingdom,MEX,MEX,Mexico,5902456960.44127,5902.45696044127,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,GBR__USA,United Kingdom imports from United States,GBR,GBR,United Kingdom,USA,USA,United States,93811018839.7896,93811.0188397896,3.3,3.8,0,0.0,0.0,86.8,86.8,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__AUS,Japan imports from Australia,JPN,JPN,Japan,AUS,AUS,Australia,64753109584.6163,64753.1095846163,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__CAN,Japan imports from Canada,JPN,JPN,Japan,CAN,CAN,Canada,14506175822.4947,14506.175822494699,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__CHN,Japan imports from China,JPN,JPN,Japan,CHN,CHN,China,173848747494.768,173848.747494768,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__GBR,Japan imports from United Kingdom,JPN,JPN,Japan,GBR,GBR,United Kingdom,7165973884.13411,7165.97388413411,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__KOR,Japan imports from South Korea,JPN,JPN,Japan,KOR,KOR,South Korea,31045804645.7364,31045.8046457364,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__MEX,Japan imports from Mexico,JPN,JPN,Japan,MEX,MEX,Mexico,5689194224.01373,5689.1942240137305,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,JPN__USA,Japan imports from United States,JPN,JPN,Japan,USA,USA,United States,82250147004.8463,82250.1470048463,1.9,3.7,0,0.0,0.0,92.4,92.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__AUS,South Korea imports from Australia,KOR,KOR,South Korea,AUS,AUS,Australia,32822954717.0,32822.954717,8.4,13.4,0,0.0,0.0,66.4,66.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__CAN,South Korea imports from Canada,KOR,KOR,South Korea,CAN,CAN,Canada,6194624568.0,6194.624568,8.4,13.4,0,0.0,0.0,66.4,66.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__CHN,South Korea imports from China,KOR,KOR,South Korea,CHN,CHN,China,142857337704.0,142857.337704,8.4,13.4,0,0.0,0.0,66.4,66.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__GBR,South Korea imports from United Kingdom,KOR,KOR,South Korea,GBR,GBR,United Kingdom,5147813485.0,5147.813485,8.4,13.4,0,0.0,0.0,66.4,66.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__JPN,South Korea imports from Japan,KOR,KOR,South Korea,JPN,JPN,Japan,47656468255.0,47656.468255,8.4,13.4,0,0.0,0.0,66.4,66.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__MEX,South Korea imports from Mexico,KOR,KOR,South Korea,MEX,MEX,Mexico,7630719100.0,7630.7191,8.4,13.4,0,0.0,0.0,66.4,66.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,KOR__USA,South Korea imports from United States,KOR,KOR,South Korea,USA,USA,United States,71272029801.0,71272.029801,8.4,13.4,1,3.0,0.0,66.4,63.4,yes,KORUS,Korea-United States Free Trade Agreement,substantially_all_goods,2012-03-15,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | FTA reverse-direction pair.
2023,MEX__AUS,Mexico imports from Australia,MEX,MEX,Mexico,AUS,AUS,Australia,471691311.0,471.691311,3.9,6.8,0,0.0,0.0,84.4,84.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,MEX__CAN,Mexico imports from Canada,MEX,MEX,Mexico,CAN,CAN,Canada,12315036237.0,12315.036237,3.9,6.8,0,0.0,0.0,84.4,84.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,MEX__CHN,Mexico imports from China,MEX,MEX,Mexico,CHN,CHN,China,113395605601.0,113395.605601,3.9,6.8,0,0.0,0.0,84.4,84.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,MEX__GBR,Mexico imports from United Kingdom,MEX,MEX,Mexico,GBR,GBR,United Kingdom,2350034067.0,2350.034067,3.9,6.8,0,0.0,0.0,84.4,84.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,MEX__JPN,Mexico imports from Japan,MEX,MEX,Mexico,JPN,JPN,Japan,18900871961.0,18900.871961,3.9,6.8,0,0.0,0.0,84.4,84.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,MEX__KOR,Mexico imports from South Korea,MEX,MEX,Mexico,KOR,KOR,South Korea,18859540197.0,18859.540197,3.9,6.8,0,0.0,0.0,84.4,84.4,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.
2023,MEX__USA,Mexico imports from United States,MEX,MEX,Mexico,USA,USA,United States,249230170654.0,249230.170654,3.9,6.8,1,3.0,0.0,84.4,81.4,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,2020-07-01,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | Low-friction FTA reverse-direction pair.
2023,USA__AUS,United States imports from Australia,USA,USA,United States,AUS,AUS,Australia,14732269015.0,14732.269015,2.2,3.3,1,2.0,0.0,91.2,89.2,yes,AUSFTA,Australia-United States Free Trade Agreement,substantially_all_goods,2005-01-01,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | FTA pair with light residual friction.
2023,USA__CAN,United States imports from Canada,USA,USA,United States,CAN,CAN,Canada,398504048546.0,398504.048546,2.2,3.3,1,2.0,0.0,91.2,89.2,yes,USMCA,United States-Mexico-Canada Agreement,substantially_all_goods,2020-07-01,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | Low-friction FTA pair with light residual friction penalty.
2023,USA__CHN,United States imports from China,USA,USA,United States,CHN,CHN,China,411156631121.0,411156.631121,2.2,3.3,0,16.0,12.0,91.2,63.2,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | High-friction pair with strong residual NTM and remedy burden.
2023,USA__GBR,United States imports from United Kingdom,USA,USA,United States,GBR,GBR,United Kingdom,58566371468.0,58566.371468,2.2,3.3,0,4.0,0.0,91.2,87.2,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | Developed non-FTA pair with moderate residual friction.
2023,USA__JPN,United States imports from Japan,USA,USA,United States,JPN,JPN,Japan,143409945811.0,143409.945811,2.2,3.3,0,4.0,0.0,91.2,87.2,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | Developed non-FTA pair with moderate residual friction.
