actor_id,wto_partner_code,canonical_name
LAO,418,Lao People's Democratic Republic
LBN,422,Lebanon
LBR,430,Liberia
LBY,434,Libya
LCA,662,Saint Lucia
LIE,438,Liechtenstein
LKA,144,Sri Lanka
LSO,426,Lesotho
LTU,440,Lithuania
LUX,442,Luxembourg
LVA,428,Latvia
MAC,446,Macao
MAF,663,Saint Martin (French part)
MAR,504,Morocco
MCO,492,Monaco
MDA,498,"Moldova, Republic of"
MDG,450,Madagascar
MDV,462,Maldives
MEX,484,Mexico
MHL,584,Marshall Islands
MKD,807,North Macedonia
MLI,466,Mali
MLT,470,Malta
MMR,104,Myanmar
MNE,499,Montenegro
MNG,496,Mongolia
MNP,580,Northern Mariana Islands
MOZ,508,Mozambique
MRT,478,Mauritania
MSR,500,Montserrat
MTQ,474,Martinique
MUS,480,Mauritius
MWI,454,Malawi
MYS,458,Malaysia
MYT,175,Mayotte
NAM,516,Namibia
NCL,540,New Caledonia
NER,562,Niger
NFK,574,Norfolk Island
NGA,566,Nigeria
NIC,558,Nicaragua
NIU,570,Niue
NLD,528,Netherlands
NOR,578,Norway
NPL,524,Nepal
NRU,520,Nauru
NZL,554,New Zealand
OMN,512,Oman
PAK,586,Pakistan
PAN,591,Panama
PCN,612,Pitcairn
PER,604,Peru
PHL,608,Philippines
PLW,585,Palau
PNG,598,Papua New Guinea
POL,616,Poland
PRI,630,Puerto Rico
PRK,408,"Korea, Democratic People's Republic of"
PRT,620,Portugal
PRY,600,Paraguay
PSE,275,"Palestine, State of"
PYF,258,French Polynesia
QAT,634,Qatar
REU,638,Réunion
ROU,642,Romania
RUS,643,Russia
RWA,646,Rwanda
SAU,682,Saudi Arabia
SDN,729,Sudan
SEN,686,Senegal
SGP,702,Singapore
SGS,239,South Georgia and the South Sandwich Islands
SHN,654,"Saint Helena, Ascension and Tristan da Cunha"
SJM,744,Svalbard and Jan Mayen
SLB,90,Solomon Islands
SLE,694,Sierra Leone
SLV,222,El Salvador
SMR,674,San Marino
SOM,706,Somalia
SPM,666,Saint Pierre and Miquelon
SRB,688,Serbia
SSD,728,South Sudan
STP,678,Sao Tome and Principe
SUR,740,Suriname
SVK,703,Slovakia
SVN,705,Slovenia
SWE,752,Sweden
SWZ,748,Eswatini
SXM,534,Sint Maarten (Dutch part)
SYC,690,Seychelles
SYR,760,Syrian Arab Republic
TCA,796,Turks and Caicos Islands
TCD,148,Chad
TGO,768,Togo
THA,764,Thailand
TJK,762,Tajikistan
TKL,772,Tokelau
TKM,795,Turkmenistan
TLS,626,Timor-Leste
TON,776,Tonga
TTO,780,Trinidad and Tobago
TUN,788,Tunisia
TUR,792,Turkey
TUV,798,Tuvalu
TWN,158,"Taiwan, Province of China"
TZA,834,"Tanzania, United Republic of"
UGA,800,Uganda
UKR,804,Ukraine
UMI,581,United States Minor Outlying Islands
URY,858,Uruguay
USA,840,United States
UZB,860,Uzbekistan
VAT,336,Holy See (Vatican City State)
VCT,670,Saint Vincent and the Grenadines
VEN,862,"Venezuela, Bolivarian Republic of"
VGB,92,"Virgin Islands, British"
VIR,850,"Virgin Islands, U.S."
VNM,704,Viet Nam
VUT,548,Vanuatu
WLF,876,Wallis and Futuna
WSM,882,Samoa
YEM,887,Yemen
ZAF,710,South Africa
ZMB,894,Zambia
ZWE,716,Zimbabwe
